ID,File Name,Command,Link,Alt Text,Created At,Type,Mime Type,Width,Height,Duration,Status,Errors
gid://shopify/MediaImage/26135859921033,view6_all_purpose_womens_high_impact_support_2500x1875_9f89944b-10f9-433c-89a3-2fd6f8e21cbd.webp,MERGE,https://cdn.shopify.com/s/files/1/0645/8412/2505/files/view6_all_purpose_womens_high_impact_support_2500x1875_9f89944b-10f9-433c-89a3-2fd6f8e21cbd.webp?v=1727451802,"A new Superfeet All-Purpose Women's High Impact Support box is highlighted in the foreground, with graphic text that says NEW - New packaging, same great product. The previous version of the packaging is shown in the background.",2024-09-27 11:43:20 -0400,IMAGE,image/webp,700,500,,Ready,
gid://shopify/MediaImage/26135859953801,view3_casual_easyfit_highheel_2500x1875_e8f5fd27-50f9-4968-8d21-39845a2a3574.webp,MERGE,https://cdn.shopify.com/s/files/1/0645/8412/2505/files/view3_casual_easyfit_highheel_2500x1875_e8f5fd27-50f9-4968-8d21-39845a2a3574.webp?v=1727451803,Pair of Superfeet Casual Easyfit High Heel insoles with feature highlights that say Brushed microsuede top cover with Moisturewick and Sculpted heel maximizes natural shock absorption.,2024-09-27 11:43:22 -0400,IMAGE,image/webp,700,500,,Ready,
gid://shopify/MediaImage/26135859986569,view4_casual_easyfit_highheel_2500x1875_6d83d762-330c-40f4-8f2a-fbeebb020fb1.webp,MERGE,https://cdn.shopify.com/s/files/1/0645/8412/2505/files/view4_casual_easyfit_highheel_2500x1875_6d83d762-330c-40f4-8f2a-fbeebb020fb1.webp?v=1727451804,View of the bottom of a single Superfeet Casual Easyfit High Heel insole with highlighted feature that says Slip-resistant ridges keep the insole in place.,2024-09-27 11:43:23 -0400,IMAGE,image/webp,700,500,,Ready,
gid://shopify/MediaImage/26135860084873,view1_casual_easyfit_highheel_2500x2500_c437a050-43fe-4648-9104-5b6cc2373d72.webp,MERGE,https://cdn.shopify.com/s/files/1/0645/8412/2505/files/view1_casual_easyfit_highheel_2500x2500_c437a050-43fe-4648-9104-5b6cc2373d72.webp?v=1727451806,Pair view of Superfeet Casual Easyfit High Heel Insoles with graphic overlay text that says Supports Arches and Reduces Strain on Feet.,2024-09-27 11:43:24 -0400,IMAGE,image/webp,700,500,,Ready,
gid://shopify/MediaImage/26135860150409,view2_casual_easyfit_highheel_2500x1875_61bdd347-8a22-4eb0-acc8-cc074e74d56f.webp,MERGE,https://cdn.shopify.com/s/files/1/0645/8412/2505/files/view2_casual_easyfit_highheel_2500x1875_61bdd347-8a22-4eb0-acc8-cc074e74d56f.webp?v=1727451807,"Pair view of Superfeet Casual Easyfit High Heel Insoles with Fit Profile graphic elements. All arch heights, Thin insole thickness, Firm underfoot cushioning.",2024-09-27 11:43:25 -0400,IMAGE,image/webp,700,500,,Ready,
gid://shopify/MediaImage/26135860183177,view1_casual_mens_easyfit_2500x2500_652d9ea1-8c93-4c8c-a277-01f661ec762a.webp,MERGE,https://cdn.shopify.com/s/files/1/0645/8412/2505/files/view1_casual_mens_easyfit_2500x2500_652d9ea1-8c93-4c8c-a277-01f661ec762a.webp?v=1727451808,Pair view of Superfeet Casual Men's Easyfit Insoles with graphic overlay text that says Stabilizes Feet and Supports Arches.,2024-09-27 11:43:27 -0400,IMAGE,image/webp,700,500,,Ready,
gid://shopify/MediaImage/26135860281481,view5_casual_easyfit_highheel_2500x1875_7ba5c7c6-17bf-4750-ac9a-796f1b0aa0e5.webp,MERGE,https://cdn.shopify.com/s/files/1/0645/8412/2505/files/view5_casual_easyfit_highheel_2500x1875_7ba5c7c6-17bf-4750-ac9a-796f1b0aa0e5.webp?v=1727451810,View of the top of a single Superfeet Casual Easyfit High Heel Insole with thumbs-up icon and text that says Doctor-recommended Superfeet shape.,2024-09-27 11:43:28 -0400,IMAGE,image/webp,700,500,,Ready,
gid://shopify/MediaImage/26135860379785,view6_casual_easyfit_highheel_2500x1875_c3fde754-1e36-4fe5-95ed-8a1cfad14551.webp,MERGE,https://cdn.shopify.com/s/files/1/0645/8412/2505/files/view6_casual_easyfit_highheel_2500x1875_c3fde754-1e36-4fe5-95ed-8a1cfad14551.webp?v=1727451811,"A new Superfeet Casual Easyfit High Heel box is highlighted in the foreground, with graphic text that says NEW - New packaging, same great product. The previous version of the packaging is shown in the background.",2024-09-27 11:43:30 -0400,IMAGE,image/webp,700,500,,Ready,
gid://shopify/MediaImage/26135860478089,view2_casual_mens_easyfit_2500x1875_2482f492-4e97-4c22-9301-460f316dcb18.webp,MERGE,https://cdn.shopify.com/s/files/1/0645/8412/2505/files/view2_casual_mens_easyfit_2500x1875_2482f492-4e97-4c22-9301-460f316dcb18.webp?v=1727451812,"Pair view of Superfeet Casual Men's Easyfit Insoles with Fit Profile graphic elements. All arch heights, Thin insole thickness, Firm underfoot cushioning.",2024-09-27 11:43:31 -0400,IMAGE,image/webp,700,500,,Ready,
gid://shopify/MediaImage/26135860510857,view3_casual_mens_easyfit_2500x1875_f5c21141-5624-477a-baf5-e7031d1a48c4.webp,MERGE,https://cdn.shopify.com/s/files/1/0645/8412/2505/files/view3_casual_mens_easyfit_2500x1875_f5c21141-5624-477a-baf5-e7031d1a48c4.webp?v=1727451813,Pair of Superfeet Casual Men's Easyfit with feature highlights that say Brushed microsuede top cover with Moisturewick and Sculpted heel maximizes natural shock absorption.,2024-09-27 11:43:32 -0400,IMAGE,image/webp,700,500,,Ready,
