ID,Handle,Command,Display Name,Status,Updated At,Definition: Handle,Definition: Name,Top Row,Row #,Field,Value
88907513993,running,MERGE,Running,Active,2024-10-17 08:56:52 -0400,product_feature_groups,Product Feature Groups,,34,headline,Engineered For Running
88907513993,running,MERGE,Running,Active,2024-10-17 08:56:52 -0400,product_feature_groups,Product Feature Groups,,35,description,"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Superfeet insoles deliver biomechanically shaped support so you can train stronger and recover quicker""}]}]}"
88907513993,running,MERGE,Running,Active,2024-10-17 08:56:52 -0400,product_feature_groups,Product Feature Groups,,36,product_feature_1,product_features.fourth-lightweight-aluminum-frame
88907513993,running,MERGE,Running,Active,2024-10-17 08:56:52 -0400,product_feature_groups,Product Feature Groups,,37,product_feature_2,product_features.second-lightweight-aluminum-frame
88907513993,running,MERGE,Running,Active,2024-10-17 08:56:52 -0400,product_feature_groups,Product Feature Groups,,38,product_feature_3,product_features.moisture-wick
88907513993,running,MERGE,Running,Active,2024-10-17 08:56:52 -0400,product_feature_groups,Product Feature Groups,,39,product_feature_4,product_features.third-lightweight-aluminum-frame
88907513993,running,MERGE,Running,Active,2024-10-17 08:56:52 -0400,product_feature_groups,Product Feature Groups,,40,product_features_list,
88907546761,hockey-skates,MERGE,Hockey & Skates,Active,2025-03-17 15:57:04 -0400,product_feature_groups,Product Feature Groups,true,41,name,Hockey & Skates
88907546761,hockey-skates,MERGE,Hockey & Skates,Active,2025-03-17 15:57:04 -0400,product_feature_groups,Product Feature Groups,,42,main_image,t2-plp-tech-hockey.webp
88907546761,hockey-skates,MERGE,Hockey & Skates,Active,2025-03-17 15:57:04 -0400,product_feature_groups,Product Feature Groups,,43,eyebrow,Performance Tech
88907546761,hockey-skates,MERGE,Hockey & Skates,Active,2025-03-17 15:57:04 -0400,product_feature_groups,Product Feature Groups,,44,headline,Engineered For Hockey
88907546761,hockey-skates,MERGE,Hockey & Skates,Active,2025-03-17 15:57:04 -0400,product_feature_groups,Product Feature Groups,,45,description,"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Superfeet Hockey insoles optimize the fit of your skates for quick starts, tight turns and seamless energy transfer to the ice""}]}]}"
88907546761,hockey-skates,MERGE,Hockey & Skates,Active,2025-03-17 15:57:04 -0400,product_feature_groups,Product Feature Groups,,46,product_feature_1,product_features.premium-cushioning-hockey
88907546761,hockey-skates,MERGE,Hockey & Skates,Active,2025-03-17 15:57:04 -0400,product_feature_groups,Product Feature Groups,,47,product_feature_2,product_features.arch-support-hocky
88907546761,hockey-skates,MERGE,Hockey & Skates,Active,2025-03-17 15:57:04 -0400,product_feature_groups,Product Feature Groups,,48,product_feature_3,product_features.moisturewick-hockey
88907546761,hockey-skates,MERGE,Hockey & Skates,Active,2025-03-17 15:57:04 -0400,product_feature_groups,Product Feature Groups,,49,product_feature_4,product_features.skate-fit-hockey
88907546761,hockey-skates,MERGE,Hockey & Skates,Active,2025-03-17 15:57:04 -0400,product_feature_groups,Product Feature Groups,,50,product_features_list,
88907612297,winter-sports,MERGE,Winter Sports,Active,2024-10-29 13:53:07 -0400,product_feature_groups,Product Feature Groups,true,51,name,Winter Sports
88907612297,winter-sports,MERGE,Winter Sports,Active,2024-10-29 13:53:07 -0400,product_feature_groups,Product Feature Groups,,52,main_image,pdp-insole-winter-support.webp
88907612297,winter-sports,MERGE,Winter Sports,Active,2024-10-29 13:53:07 -0400,product_feature_groups,Product Feature Groups,,53,eyebrow,Performance Tech
88907612297,winter-sports,MERGE,Winter Sports,Active,2024-10-29 13:53:07 -0400,product_feature_groups,Product Feature Groups,,54,headline,Engineered For Winter Sports
88907612297,winter-sports,MERGE,Winter Sports,Active,2024-10-29 13:53:07 -0400,product_feature_groups,Product Feature Groups,,55,description,"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Superfeet insoles are clinically proven to decrease fatigue, reduce injury, and improve comfort""}]}]}"
88907612297,winter-sports,MERGE,Winter Sports,Active,2024-10-29 13:53:07 -0400,product_feature_groups,Product Feature Groups,,56,product_feature_1,product_features.fourth-lightweight-aluminum-frame
88907612297,winter-sports,MERGE,Winter Sports,Active,2024-10-29 13:53:07 -0400,product_feature_groups,Product Feature Groups,,57,product_feature_2,product_features.arch-support-winter
88907612297,winter-sports,MERGE,Winter Sports,Active,2024-10-29 13:53:07 -0400,product_feature_groups,Product Feature Groups,,58,product_feature_3,product_features.moisture-wick-winter
88907612297,winter-sports,MERGE,Winter Sports,Active,2024-10-29 13:53:07 -0400,product_feature_groups,Product Feature Groups,,59,product_feature_4,product_features.third-lightweight-aluminum-frame
88907612297,winter-sports,MERGE,Winter Sports,Active,2024-10-29 13:53:07 -0400,product_feature_groups,Product Feature Groups,,60,product_features_list,
88907579529,work,MERGE,Work,Active,2025-03-11 08:07:36 -0400,product_feature_groups,Product Feature Groups,true,61,name,Work
88907579529,work,MERGE,Work,Active,2025-03-11 08:07:36 -0400,product_feature_groups,Product Feature Groups,,62,main_image,t2-plp-tech-work.webp
88907579529,work,MERGE,Work,Active,2025-03-11 08:07:36 -0400,product_feature_groups,Product Feature Groups,,63,eyebrow,Performance Tech
88907579529,work,MERGE,Work,Active,2025-03-11 08:07:36 -0400,product_feature_groups,Product Feature Groups,,64,headline,Engineered for Work Footwear
88907579529,work,MERGE,Work,Active,2025-03-11 08:07:36 -0400,product_feature_groups,Product Feature Groups,,65,description,"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Superfeet insoles deliver biomechanically shaped support that fights fatigue and can help relieve pain in your knees and back, not just your feet""}]}]}"
88907579529,work,MERGE,Work,Active,2025-03-11 08:07:36 -0400,product_feature_groups,Product Feature Groups,,66,product_feature_1,product_features.premium-cushioning-work
88907579529,work,MERGE,Work,Active,2025-03-11 08:07:36 -0400,product_feature_groups,Product Feature Groups,,67,product_feature_2,product_features.arch-support-work
88907579529,work,MERGE,Work,Active,2025-03-11 08:07:36 -0400,product_feature_groups,Product Feature Groups,,68,product_feature_3,product_features.moisture-wick-work
88907579529,work,MERGE,Work,Active,2025-03-11 08:07:36 -0400,product_feature_groups,Product Feature Groups,,69,product_feature_4,product_features.third-lightweight-aluminum-frame
88907579529,work,MERGE,Work,Active,2025-03-11 08:07:36 -0400,product_feature_groups,Product Feature Groups,,70,product_features_list,
88907677833,all-purpose,MERGE,All Purpose,Active,2024-09-27 14:02:37 -0400,product_feature_groups,Product Feature Groups,true,71,name,All Purpose
88907677833,all-purpose,MERGE,All Purpose,Active,2024-09-27 14:02:37 -0400,product_feature_groups,Product Feature Groups,,72,main_image,t2-plp-tech-all-purpose-fitness.webp
88907677833,all-purpose,MERGE,All Purpose,Active,2024-09-27 14:02:37 -0400,product_feature_groups,Product Feature Groups,,73,eyebrow,Performance Tech
88907677833,all-purpose,MERGE,All Purpose,Active,2024-09-27 14:02:37 -0400,product_feature_groups,Product Feature Groups,,74,headline,Engineered For Any Activity
88907677833,all-purpose,MERGE,All Purpose,Active,2024-09-27 14:02:37 -0400,product_feature_groups,Product Feature Groups,,75,description,"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Superfeet insoles are clinically proven to decrease fatigue, reduce injury, and improve comfort""}]}]}"
88907677833,all-purpose,MERGE,All Purpose,Active,2024-09-27 14:02:37 -0400,product_feature_groups,Product Feature Groups,,76,product_feature_1,product_features.premium-cushioning-all-purpose
