ID,Handle,Command,Title,Body HTML,Sort Order,Template Suffix,Updated At,Published,Published At,Published Scope,Image Src,Image Width,Image Height,Image Alt Text,Row #,Top Row,Must Match,Rule: Product Column,Rule: Relation,Rule: Condition,Metafield: title_tag [string],Metafield: description_tag [string],Metafield: cql.collection_tagline_link [link],Metafield: cql.collection_tagline_text [single_line_text_field],Metafield: custom.feature_diagram [metaobject_reference],Metafield: custom.ugc_gallery [metaobject_reference],Metafield: custom.faq_group [metaobject_reference],Metafield: cql.seo_collection_description [multi_line_text_field],Metafield: cql.seo_collection_heading [single_line_text_field],Metafield: seo.hidden [number_integer]
335745646774,running,MERGE,Running Insoles,"<p style=""text-align: center;""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0638/5346/1687/files/icon-giving-back.svg?v=1726062433"" width=""109"" height=""87""></p>
<p style=""text-align: center;""><span>With your purchase you’ve joined a community committed to making a difference for people and the planet. Every year, Superfeet gives 1% of sales and more than 1,000 volunteer hours to shaping a strong foundation.</span></p>",Best Selling,tier-2-collection,2025-11-11 07:18:32 -0500,true,2024-09-06 14:55:28 -0400,web,,,,,11,true,any condition,Tag,Equals,RUNNING,"Running Insoles
","Check out the full selection of Running Insoles
 available online from the foot care experts at Superfeet. Shop Superfeet insoles and supports today!","{""text"":""Take the Insole Finder Quiz"",""url"":""https:/pages/insole-finder""}",Not Sure Where to Start?,product_feature_groups.running,ugc_galleries.running-ugc,faq_group.running-insoles-faq,,,
335745646774,running,MERGE,Running Insoles,,Best Selling,tier-2-collection,2025-11-11 07:18:32 -0500,true,2024-09-06 14:55:28 -0400,web,,,,,12,,,Tag,Equals,ACTIVE,,,,,,,,,,
335745843382,hiking,MERGE,Hiking Insoles,"<p style=""text-align: center;""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0638/5346/1687/files/icon-giving-back.svg?v=1726062433"" width=""109"" height=""87""></p>
<p style=""text-align: center;""><span>With your purchase you’ve joined a community committed to making a difference for people and the planet. Every year, Superfeet gives 1% of sales and more than 1,000 volunteer hours to shaping a strong foundation.</span></p>",Manual,hiking-collection,2025-11-11 07:18:32 -0500,true,2024-09-06 15:04:57 -0400,web,,,,,13,true,any condition,Tag,Equals,HIKING,"Hiking Insoles
","Check out the full selection of Hiking Insoles
 available online from the foot care experts at Superfeet. Shop Superfeet insoles and supports today!","{""text"":""Take the Insole Finder Quiz"",""url"":""https://www.superfeet.co.uk/pages/insole-finder""}",Not Sure Where to Start?,product_feature_groups.hiking,,faq_group.hiking-insole-faq,,,
335745843382,hiking,MERGE,Hiking Insoles,,Manual,hiking-collection,2025-11-11 07:18:32 -0500,true,2024-09-06 15:04:57 -0400,web,,,,,14,,,Metafield: cql.target_use_activity,Equals,Hiking,,,,,,,,,,
335745843382,hiking,MERGE,Hiking Insoles,,Manual,hiking-collection,2025-11-11 07:18:32 -0500,true,2024-09-06 15:04:57 -0400,web,,,,,15,,,Tag,Equals,ACTIVE,,,,,,,,,,
335745712310,walking,MERGE,Walking,,Alphabet,,2025-11-11 07:18:32 -0500,true,2024-09-06 15:01:09 -0400,web,,,,,16,true,any condition,Tag,Equals,ACTIVE,"Walking Insoles
","Check out the full selection of Walking Insoles
 available online from the foot care experts at Superfeet. Shop Superfeet insoles and supports today!","{""text"":""Take the Insole Finder Quiz"",""url"":""https://www.superfeet.co.uk/pages/insole-finder""}",Not Sure Where to Start?,product_feature_groups.walking,,faq_group.insole-faq,,,
335745712310,walking,MERGE,Walking,,Alphabet,,2025-11-11 07:18:32 -0500,true,2024-09-06 15:01:09 -0400,web,,,,,17,,,Tag,Equals,RUNNING,,,,,,,,,,
335745908918,hockey-skates,MERGE,Hockey & Skates Insoles,"<p style=""text-align: center;""><span>Boost your on-ice performance with Superfeet Hockey insoles, designed specifically for hockey skates. These insoles provide superior arch support, stability, and shock absorption, enhancing your agility and reducing foot fatigue during intense games and practices. Engineered to fit perfectly in hockey skates, Superfeet insoles help improve energy transfer and edge control, giving you a competitive edge on the ice. Shop now to upgrade your game with Superfeet Hockey insoles.</span></p>",Best Selling,hockey-skates,2025-11-11 07:18:32 -0500,true,2024-09-06 15:07:17 -0400,web,,,,,18,true,all conditions,Tag,Equals,HOCKEY,Shop Hockey Insoles & Shoe Inserts,"Boost on-ice performance with Superfeet Hockey insoles. Engineered to fit perfectly in hockey skates, they enhance agility, stability, and reduce fatigue. Shop now!","{""text"":""Take the Insole Finder Quiz"",""url"":""https://www.superfeet.co.uk/pages/insole-finder""}",Not Sure Where to Start?,product_feature_groups.hockey-skates,,faq_group.hockey-skates-insole-faq,,,
335746105526,ski-snowboard,MERGE,Ski & Snowboard,,Alphabet,ski-snowboard-collection,2025-11-08 07:21:16 -0500,true,2024-09-06 15:11:53 -0400,web,,,,,19,true,all conditions,Tag,Equals,WINTER,"Ski & Snowboard Insoles
","Check out the full selection of Ski & Snowboard Insoles
 available online from the foot care experts at Superfeet. Shop Superfeet insoles and supports today!","{""text"":""Take the Insole Finder Quiz"",""url"":""https://www.superfeet.co.uk/pages/insole-finder""}",Not Sure Where to Start?,product_feature_groups.winter-sports,,faq_group.insole-faq,,,
335746171062,racquet-sports,MERGE,Racquet Sports,,Alphabet,,2025-11-11 07:18:32 -0500,true,2024-09-06 15:12:34 -0400,web,,,,,20,true,any condition,Tag,Equals,ALL-PURPOSE,"Racquet Sports Insoles
","Check out the full selection of Racquet Sports Insoles
 available online from the foot care experts at Superfeet. Shop Superfeet insoles and supports today!","{""text"":""Take the Insole Finder Quiz"",""url"":""https://www.superfeet.co.uk/pages/insole-finder""}",Not Sure Where to Start?,product_feature_groups.racquet-sports,,faq_group.insole-faq,,,
335746171062,racquet-sports,MERGE,Racquet Sports,,Alphabet,,2025-11-11 07:18:32 -0500,true,2024-09-06 15:12:34 -0400,web,,,,,21,,,Tag,Equals,ACTIVE,,,,,,,,,,
335746498742,casual,MERGE,Casual,,Alphabet,,2025-11-11 07:18:32 -0500,true,2024-09-06 15:25:33 -0400,web,,,,,22,true,any condition,Tag,Equals,CASUAL,Casual Insoles,"Check out the full selection of Casual Insoles
 available online from the foot care experts at Superfeet. Shop Superfeet insoles and supports today!",,,product_feature_groups.casual-dress,,,,,
335746498742,casual,MERGE,Casual,,Alphabet,,2025-11-11 07:18:32 -0500,true,2024-09-06 15:25:33 -0400,web,,,,,23,,,Tag,Equals,ACTIVE,,,,,,,,,,
335746564278,all-purpose,MERGE,All Purpose Insoles,"<p style=""text-align: center;""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0638/5346/1687/files/icon-giving-back.svg?v=1726062433"" width=""109"" height=""87""></p>
<p style=""text-align: center;""><span>With your purchase you’ve joined a community committed to making a difference for people and the planet. Every year, Superfeet gives 1% of sales and more than 1,000 volunteer hours to shaping a strong foundation.</span></p>",Manual,,2025-11-11 07:18:32 -0500,true,2024-09-06 15:28:12 -0400,web,,,,,24,true,any condition,Tag,Equals,ALL-PURPOSE,"All Purpose Insoles
","Check out the full selection of All Purpose Insoles
 available online from the foot care experts at Superfeet. Shop Superfeet insoles and supports today!","{""text"":""Take the Insole Finder Quiz"",""url"":""https://www.superfeet.co.uk/pages/insole-finder""}",Not Sure Where to Start?,product_feature_groups.all-purpose,,faq_group.insole-faq,,,
335746564278,all-purpose,MERGE,All Purpose Insoles,,Manual,,2025-11-11 07:18:32 -0500,true,2024-09-06 15:28:12 -0400,web,,,,,25,,,Tag,Equals,ACTIVE,,,,,,,,,,
335746629814,pain-relief,MERGE,Pain Relief Insoles,"<p style=""text-align: center;""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0638/5346/1687/files/icon-giving-back.svg?v=1726062433"" width=""109"" height=""87""></p>
<p style=""text-align: center;""><span>With your purchase you’ve joined a community committed to making a difference for people and the planet. Every year, Superfeet gives 1% of sales and more than 1,000 volunteer hours to shaping a strong foundation.</span></p>",Manual,pain-relief-collection,2025-11-11 07:18:32 -0500,true,2024-09-06 15:29:56 -0400,web,,,,,26,true,any condition,Tag,Equals,PAIN RELIEF,"Pain Relief Insoles
","Check out the full selection of Pain Relief Insoles
 available online from the foot care experts at Superfeet. Shop Superfeet insoles and supports today!","{""text"":""Take the Insole Finder Quiz"",""url"":""https://www.superfeet.co.uk/pages/insole-finder""}",Not Sure Where to Start?,product_feature_groups.pain-relief,,faq_group.insole-faq,,,
335746629814,pain-relief,MERGE,Pain Relief Insoles,,Manual,pain-relief-collection,2025-11-11 07:18:32 -0500,true,2024-09-06 15:29:56 -0400,web,,,,,27,,,Tag,Equals,ACTIVE,,,,,,,,,,
337675255990,all,MERGE,All Insoles,"<p style=""text-align: center;""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0638/5346/1687/files/icon-giving-back.svg?v=1726062433"" width=""109"" height=""87""></p>
<p style=""text-align: center;""><span>With your purchase you’ve joined a community committed to making a difference for people and the planet. Every year, Superfeet gives 1% of sales and more than 1,000 volunteer hours to shaping a strong foundation.</span></p>",Best Selling,,2025-11-11 07:18:32 -0500,true,2024-09-27 14:12:23 -0400,web,,,,,28,true,all conditions,Tag,Equals,ALL INSOLES,Shop Superfeet Insoles & Orthotic Shoe Inserts,"Check out the full selection of All Insoles
 available online from the foot care experts at Superfeet. Shop Superfeet insoles and supports today!","{""text"":""Take the Insole Finder Quiz"",""url"":""https://www.superfeet.co.uk/pages/insole-finder""}",Not Sure Where to Start?,,,,,,
335746760886,active,MERGE,Active,,Alphabet,,2025-11-11 07:18:32 -0500,true,2024-09-06 15:34:12 -0400,web,,,,,29,true,all conditions,Tag,Equals,ACTIVE,Active Insoles,"Check out the full selection of Active Insoles
 available online from the foot care experts at Superfeet. Shop Superfeet insoles and supports today!",,,,,,,,
335746728118,work,MERGE,Work Insoles,"<p style=""text-align: center;""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0638/5346/1687/files/icon-giving-back.svg?v=1726062433"" width=""109"" height=""87""></p>
<p style=""text-align: center;""><span>With your purchase you’ve joined a community committed to making a difference for people and the planet. Every year, Superfeet gives 1% of sales and more than 1,000 volunteer hours to shaping a strong foundation.</span></p>",Manual,work-collection,2025-11-11 07:18:32 -0500,true,2024-09-06 15:33:51 -0400,web,,,,,30,true,any condition,Tag,Equals,WORK,"Work Insoles
","Check out the full selection of Work Insoles
 available online from the foot care experts at Superfeet. Shop Superfeet insoles and supports today!","{""text"":""Take the Insole Finder Quiz"",""url"":""https://www.superfeet.co.uk/pages/insole-finder""}",Not Sure Where to Start?,product_feature_groups.work,,faq_group.insole-faq,,,
335746728118,work,MERGE,Work Insoles,,Manual,work-collection,2025-11-11 07:18:32 -0500,true,2024-09-06 15:33:51 -0400,web,,,,,31,,,Metafield: cql.target_use_activity,Equals,Work/Service/Industrial,,,,,,,,,,
335746728118,work,MERGE,Work Insoles,,Manual,work-collection,2025-11-11 07:18:32 -0500,true,2024-09-06 15:33:51 -0400,web,,,,,32,,,Tag,Equals,ACTIVE,,,,,,,,,,
337675288758,snow-sports,MERGE,Ski & Snowboard Insoles,"<p style=""text-align: center;""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0638/5346/1687/files/icon-giving-back.svg?v=1726062433"" width=""109"" height=""87""></p>
<p style=""text-align: center;""><span>With your purchase you’ve joined a community committed to making a difference for people and the planet. Every year, Superfeet gives 1% of sales and more than 1,000 volunteer hours to shaping a strong foundation.</span></p>",Best Selling,ski-snowboard-collection,2025-11-08 07:21:16 -0500,true,2024-09-27 14:12:23 -0400,web,,,,,33,true,all conditions,Tag,Equals,WINTER,"Ski & Snowboard Insoles
","Check out the full selection of Ski & Snowboard Insoles
 available online from the foot care experts at Superfeet. Shop Superfeet insoles and supports today!","{""text"":""Take the Insole Finder Quiz"",""url"":""https://www.superfeet.co.uk/pages/insole-finder""}",Not Sure Where to Start?,product_feature_groups.winter-sports,,faq_group.insole-faq,,,
367374008502,bundles,MERGE,Bundles,"<p><meta charset=""utf-8"">Engineered for any activity. Enhance your footwear with Superfeet Insoles, the ultimate solution for versatile orthotic support. These shoe insoles are designed to provide maximum comfort and stability, making them perfect for daily routines, gym sessions, or wherever the day takes you. Whether you're looking for shoe inserts for everyday wear or specialized support for sports, Superfeet insoles offer unparalleled performance. Experience the difference with Superfeet Insoles and step into a world of comfort and control. Shop now to find the perfect fit for your needs and bundle your favorite insoles to save up to 15%!</p>",Best Selling,bundle-collection,2025-11-08 07:21:16 -0500,true,2025-09-05 13:23:38 -0400,web,,,,,34,true,all conditions,Tag,Equals,bundles,,,"{""text"":""Take the Insole Finder Quiz"",""url"":""https:/pages/insole-finder""}",Not Sure Where to Start?,product_feature_groups.why-superfeet,,faq_group.insole-faq,,,
