period,sessions,adds_to_cart,reached_checkout,completed_checkout,atc_rate,checkout_reach_rate,checkout_completion_rate,cvr
last_7_days,29700,1743,1557,852,0.0587,0.0524,0.5470,0.0287
prev_7_days,33094,2029,1828,1114,0.0613,0.0553,0.6095,0.0337

