"Page path","Percent of page loads","Page loads","CLS P75","CLS distribution"
"/blogs/company-news/how-to-choose-the-right-insole-arch-height-for-your-feet",0.001,84,0,"[44,44,0,0]"
"/blogs/health-wellness/soft-vs-firm-insoles-what-is-the-difference-and-how-to-choose-which-experience-is-right-for-you",0.001,42,0.01,"[23,22,1,0]"
"/collections/kids",0.001,70,0.08,"[31,28,2,1]"
"/pages/why-superfeet",0.001,101,0,"[60,60,0,0]"
"/collections/golfing",0.001,109,0.04,"[53,49,4,0]"
"/pages/promotions",0.001,66,0.02,"[33,33,0,0]"
"/products/me3d",0.001,76,0.02,"[33,33,0,0]"
"/blogs/running/foot-stress-fractures-explained",0,9,0.07,"[4,3,0,1]"
"/products/racket-performance",0,1,0.03,"[1,1,0,0]"
"/collections/running-insoles-v2",0,3,0.06,"[3,3,0,0]"
"/en-ca/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi1jYS9ibG9nL2FuLW92ZXJ2aWV3LW9mLXRoZS1ub3J0aC1jb3VudHJ5LW5hdGlvbmFsLXNjZW5pYy10cmFpbA%2C%2C/",0,1,0.04,"[1,1,0,0]"
"/blogs/company-news/10-of-the-best-running-songs-of-all-time",0,11,0.01,"[4,4,0,0]"
"/collections/hole-in-the-wall-qr-code-landing-page-test",0,1,0,"[1,1,0,0]"
"/collections/ski-snowboard",0,1,0.01,"[1,1,0,0]"
"/blogs/company-news/how-superfeet-is-making-sustainable-strides-forward",0,1,0,"[0,0,0,0]"
"/blogs/running/running-with-purpose-coach-corey-morgan-s-journey-to-his-third-chicago-marathon-with-peace-runners-773",0,1,0,"[0,0,0,0]"
"/blogs/running/running-insoles-benefits-differences-between-the-run-and-adapt-lines",0,15,0.01,"[6,6,0,0]"
"/blogs/foot-health-podiatry/achilles-tendonitis-explained",0,15,0.01,"[10,9,0,1]"
"/blogs/hiking-outdoor/mountains-and-the-beach-5-destinations-where-you-can-have-both",0,15,0,"[3,3,0,0]"
"/en-us/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi11cy9ibG9nL215LWZhdm9yaXRlLW91dGRvb3Itd29ya291dHM%2C/",0,1,0.01,"[1,1,0,0]"
"/collections/hole-in-the-wall-qr-code-landing-page-success",0,36,0.01,"[21,20,0,1]"
"/blogs/foot-health-podiatry",0,15,0,"[9,9,0,0]"
"/en-us/insoles-and-sandals/fin-go-comfort",0,1,0,"[0,0,0,0]"
"/blogs/foot-health-podiatry/overpronation-vs-underpronation-finding-the-perfect-balance-with-superfeet-insoles",0,1,0,"[1,1,0,0]"
"/en-eu/news/no-driving-necessary-10-great-portland-adventures-via-mass-transit",0,1,0.03,"[1,1,0,0]"
"/blogs/national-parks/trail-running-in-olympic-national-park-an-insider-s-guide",0,3,0.01,"[1,1,0,0]"
"/en-us/everyday-slim-fit-men",0,4,0,"[0,0,0,0]"
"/en-us/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi11cy9ibG9nL3Bvc2l0aXZlLWFmZmlybWF0aW9ucy10by1zdGFydC15b3VyLWRheQ%2C%2C/",0,1,0.23,"[1,0,1,0]"
"/collections/hole-in-the-wall-qr-code-landing-page",0,16,0.03,"[14,13,0,1]"
