"Page path","Percent of page loads","Page loads","CLS P75","CLS distribution"
"/blogs/hiking-outdoor/heres-how-i-prepared-for-the-r2r2r-before-and-after-experience",0,5,0,"[1,1,0,0]"
"/en-ca/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi1jYS9xci1jYXN1YWw%2C/",0,1,0.24,"[1,0,1,0]"
"/blogs/national-parks/backpacking-in-olympic-national-park-an-insider-s-guide",0,14,0,"[0,0,0,0]"
"/rx/national-parks/national-parks/shenandoah",0,1,0,"[1,1,0,0]"
"/blogs/company-news/the-importance-of-having-a-defined-goal-for-your-running",0,1,0,"[1,1,0,0]"
"/en-gb/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi1nYi9jdXN0b20tYmxhY2stcGRwLXRlc3Q%2C/",0,1,0.01,"[1,1,0,0]"
"/rx/blogs/national-parks/backpacking-in-olympic-national-park-an-insider-s-guide",0,1,0.05,"[1,1,0,0]"
"/blogs/health-wellness/orthotic-superfeet-shape-arch-support-and-so-much-more",0,2,0,"[1,1,0,0]"
"/en-us/insoles-and-sandals/everyday/green",0,1,0,"[0,0,0,0]"
"/en-ca/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi1jYS9ibG9nL3J1bm5pbmctcGFjZS1jYWxjdWxhdG9yLWhpdC15b3VyLW5leHQtcHI%2C/",0,1,0.09,"[1,1,0,0]"
"/en-ca/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi1jYS9ibG9nLzUtcmFyZWx5LXRyYXZlbGVkLWRheS1oaWtlcy1pbi1vbHltcGljLW5hdGlvbmFsLXBhcms%2C/",0,1,0.19,"[1,0,1,0]"
"/blogs/company-news/6-types-of-running-workouts-and-why-you-need-them",0,12,0.01,"[3,3,0,0]"
"/blogs/foot-health-podiatry/flat-feet-vs-normal-arches-whats-the-real-difference-and-how-to-find-relief",0,7,0.04,"[3,3,0,0]"
"/blogs/company-news/performance-insoles-redefined-introducing-run-pacer-elite",0,17,0,"[9,9,0,0]"
"/blogs/foot-health-podiatry/why-high-arches-can-lead-to-high-instep-foot",0,5,0.06,"[3,3,0,0]"
"/en-gb/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi1nYi93aW50ZXItY29tZm9ydC10aGlu/",0,1,0.01,"[1,1,0,0]"
"/blogs/foot-health-podiatry/accessory-navicular-syndrome-how-to-reduce-pain-and-improve-foot-function",0,1,0,"[0,0,0,0]"
"/en-us/catalogsearch/result/index/",0,1,0,"[0,0,0,0]"
"/en-us/insoles-and-sandals/run-cushion-low-arch",0,1,0.03,"[1,1,0,0]"
"/en-eu/news/6-quick-and-easy-wellness-tips",0,1,0.04,"[1,1,0,0]"
"/blogs/hiking-outdoor/how-to-take-care-of-your-feet-while-thru-hiking",0,2,0,"[1,1,0,0]"
"/blogs/foot-health-podiatry/the-best-ways-to-relieve-foot-pain-from-standing-at-work",0,3,0,"[2,2,0,0]"
"/foot-health/FHI28.aspx",0,1,0.03,"[1,1,0,0]"
"/foot-health/FHI23.aspx",0,1,0.03,"[1,1,0,0]"
"/products/easyfit-women",0,1,0,"[0,0,0,0]"
"/pages/contest-rules",0,1,0.01,"[1,1,0,0]"
"/pages/our-giving",0,32,0,"[16,16,0,0]"
"/collections/running-V2",0,1,0.02,"[1,1,0,0]"
"/products/all-purpose",0,1,0,"[0,0,0,0]"
"/blogs/hiking-outdoor",0,14,0,"[10,10,0,0]"
"/en-us/delux-mens-3-4",0,6,0.01,"[4,4,0,0]"
"/pages/alt-size-chart",0,1,0,"[0,0,0,0]"
"/en-eu/products/flexmax",0,1,0,"[1,1,0,0]"
"/blogs/technology",0,3,0.05,"[2,2,0,0]"
"/products/me3d-max",0,26,0.01,"[14,14,0,0]"
"/arch-support-insoles",0,1,0,"[1,1,0,0]"
"/products/easyfit-men",0,1,0.03,"[1,1,0,0]"
"/pages/sustainability",0,24,0.01,"[19,19,0,0]"
"/store/HotPINK.aspx",0,1,0,"[0,0,0,0]"
"/en-gb/shop/insoles/run",0,1,0.05,"[1,1,0,0]"
"/pages/qr-work-guide",0,10,0.01,"[4,4,0,0]"
"/en-gb/blogs/running",0,1,0.38,"[1,0,0,1]"
"/foot-health/FHI76.aspx",0,1,0,"[1,1,0,0]"
"/pages/privacy-policy",0,15,0,"[8,8,0,0]"
"/en-gb/shop/insoles/snow",0,1,0.01,"[1,1,0,0]"
"/foot-health/FHI8.aspx",0,1,0,"[0,0,0,0]"
"/products/flexmax",0,1,0,"[0,0,0,0]"
"/foot-health/FHI35.aspx",0,1,0.03,"[1,1,0,0]"
"/products/green-insoles",0,1,0,"[0,0,0,0]"
"/en-eu/shop/insoles/run",0,1,0,"[1,1,0,0]"
"/blogs/health-wellness",0,4,0,"[3,3,0,0]"
"/foot-health/FHI24.aspx",0,1,0.03,"[1,1,0,0]"
"/en-us/customer/account/",0,1,0.03,"[1,1,0,0]"
"/pages/new-size-chart",0,1,0,"[0,0,0,0]"
"/en-us/hockey-comfort",0,1,0,"[1,1,0,0]"
"/foot-health/FHI88.aspx",0,1,0.05,"[1,1,0,0]"
"/policies/privacy-policy",0,2,0,"[0,0,0,0]"
"/pages/pain-relief",0,28,0.02,"[12,10,1,1]"
"/rx/scanning-technology/",0,2,0.04,"[2,2,0,0]"
"/en-us/insoles/green",0,1,0,"[1,1,0,0]"
"/pages/cookie-policy",0,31,0.01,"[11,11,0,0]"
"/en-us/why-superfeet",0,1,0,"[0,0,0,0]"
"/blogs/company-news",0,3,0,"[2,2,0,0]"
"/collections/unisex",0,3,0.05,"[3,3,0,0]"
"/activity/skiing.aspx",0,1,0.03,"[1,1,0,0]"
"/products/demo-gift-card",0,1,0,"[1,1,0,0]"
"/pages/instructions",0,1,0,"[1,1,0,0]"
"/pages/grant-application",0,7,0.01,"[5,5,0,0]"
"/en-eu/store-locator/",0,1,0,"[1,1,0,0]"
"/pages/store-locator-1",0,1,0.17,"[1,0,1,0]"
"/collections/frontpage",0,6,0,"[5,5,0,0]"
"/pages/affiliates",0,2,0.03,"[2,2,0,0]"
"/pages/performance",0,28,0.01,"[15,15,0,0]"
"/en-gb/best-sellers",0,1,0.03,"[1,1,0,0]"
"/pages/contact-us-rx",0,18,0.81,"[11,1,0,10]"
"/products/gift-card",0,8,0.01,"[6,6,0,0]"
"/foot-health/FHI120.aspx",0,1,0,"[1,1,0,0]"
"/foot-health/FHI11.aspx",0,1,0.03,"[1,1,0,0]"
"/en-ca/shop/insoles/kids",0,1,0.03,"[1,1,0,0]"
"/gurantee",0,1,0,"[1,1,0,0]"
"/blogs/running",0,3,0.02,"[3,3,0,0]"
"/guarentee",0,3,0.03,"[2,2,0,0]"
"/products/blue",0,1,0,"[0,0,0,0]"
"/research",0,2,0,"[0,0,0,0]"
"/blogs/all",0,22,0,"[19,18,0,1]"
"/en-eu/blogs/all",0,1,0.03,"[1,1,0,0]"
"/en-us/yellow",0,2,0,"[0,0,0,0]"
"/pages/returns",0,1,0,"[0,0,0,0]"
"/en-eu/shop",0,1,0.03,"[1,1,0,0]"
"/en-us",0,1,0.05,"[1,1,0,0]"
"/pages",0,8,0.01,"[7,7,0,0]"
"/pages/",0,2,0.01,"[2,2,0,0]"
"/de-gb/",0,3,0.12,"[3,1,2,0]"
"/shop",0,24,0.01,"[12,12,0,0]"
