"Discount name","Discount method","Discount type","Discount class","Applied discounts","Product and order discounts from apps","Shipping discounts from apps","Discounted orders","Gross sales","Returns","Net sales","Shipping charges","Taxes","Total sales"
"GX-HQOOMJL34K","discount_code","percentage","product",-11.99,0,0,1,59.99,0,48,0,3.84,51.84
"GMX-3909-4275-2361","discount_code","percentage","product",-11.99,0,0,1,59.99,0,48,0,3.84,51.84
"GMX-5398-9585-0419","discount_code","percentage","product",-11.99,0,0,1,59.99,0,48,0,3.72,51.72
"GMX-4131-7579-7462","discount_code","percentage","product",-11.99,0,0,1,59.99,0,48,0,3.72,51.72
"GMX-7940-9625-5302","discount_code","percentage","product",-11.99,0,0,1,59.99,0,48,0,3.72,51.72
"GMX-7959-8394-0362","discount_code","percentage","product",-11.99,0,0,1,59.99,0,48,0,3.72,51.72
"GX-EPROGUJOK7","discount_code","percentage","product",-11.99,0,0,1,59.99,0,48,0,3.58,51.58
"SFRX031","discount_code","percentage","product",-5.49,0,0,1,54.99,0,49.5,0,1.99,51.49
"GX-WVAWTBYXPH","discount_code","percentage","product",-11.99,0,0,1,59.99,0,48,0,3.36,51.36
"GMX-5951-9586-5631","discount_code","percentage","product",-11.99,0,0,1,59.99,0,48,0,3.36,51.36
"GMX-2727-2133-2311","discount_code","percentage","product",-11.99,0,0,1,59.99,0,48,0,3.36,51.36
"GX-OTZMEBRZBO","discount_code","percentage","product",-11.99,0,0,1,59.99,0,48,0,3.36,51.36
"GX-YYDYWO7D59","discount_code","percentage","product",-11.99,0,0,1,59.99,0,48,0,3.36,51.36
"Welcome15","manual","percentage",,-8.24,0,0,1,54.99,0,46.75,0,4.55,51.3
"GMX-5509-3185-3055","discount_code","percentage","product",-11.99,0,0,1,59.99,0,48,0,3.05,51.05
"MED15","discount_code","percentage","product",-8.24,0,0,1,54.99,0,46.75,0,4.16,50.91
"GMX-7566-7080-2831","discount_code","percentage","product",-11.99,0,0,1,59.99,0,48,0,2.88,50.88
"GMX-7422-2823-3814","discount_code","percentage","product",-11.99,0,0,1,59.99,0,48,0,2.88,50.88
"GX-P3Y3AQLV81","discount_code","percentage","product",-11.99,0,0,1,59.99,0,48,0,2.88,50.88
"GMX-2991-5369-7490","discount_code","percentage","product",-11.99,0,0,1,59.99,0,48,0,2.88,50.88
"GX-YIR8436Z5N","discount_code","percentage","product",-11.99,0,0,1,59.99,0,48,0,2.88,50.88
"GMX-7895-8204-3886","discount_code","percentage","product",-11.99,0,0,1,59.99,0,48,0,2.88,50.88
"GMX-9860-6190-0854","discount_code","percentage","product",-11.99,0,0,1,59.99,0,48,0,2.64,50.64
"GMX-8984-5596-5518","discount_code","percentage","product",-11.99,0,0,1,59.99,0,48,0,2.54,50.54
"1663-7238-8601","discount_code","percentage","product",-8.24,0,0,1,54.99,0,46.75,0,3.15,49.9
"GX-5VTYRCTPLJ","discount_code","percentage","product",-11.99,0,0,1,59.99,0,48,0,1.87,49.87
"GMX-2395-9862-5898","discount_code","percentage","product",-11.99,0,0,1,59.99,0,48,0,1.44,49.44
"GMX-9245-8239-7937","discount_code","percentage","product",-11.99,0,0,1,59.99,0,48,0,1.39,49.39
"GMX-9145-3157-0672","discount_code","percentage","product",-10.99,0,0,1,54.99,0,44,0,4.62,48.62
"GX-B2AAMWK5DR","discount_code","percentage","product",-10.99,0,0,1,54.99,0,44,0,4.53,48.53
"GX-69FXRLDNMR","discount_code","percentage","product",-10.99,0,0,1,54.99,0,44,0,4.51,48.51
"GX-1XCJ34EUTJ","discount_code","percentage","product",-10.99,0,0,1,54.99,0,44,0,4.51,48.51
"GMX-7665-9926-7721","discount_code","percentage","product",-10.99,0,0,1,54.99,0,44,0,4.4,48.4
"GX-POLNGA35AH","discount_code","percentage","product",-10.99,0,0,1,54.99,0,44,0,4.36,48.36
