"Page path","Percent of page loads","Page loads","LCP P75","LCP distribution"
"/rx/national-parks/national-parks/shenandoah",0,1,1560,"[1,1,0,0]"
"/blogs/company-news/the-importance-of-having-a-defined-goal-for-your-running",0,1,6032,"[1,0,0,1]"
"/en-gb/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi1nYi9jdXN0b20tYmxhY2stcGRwLXRlc3Q%2C/",0,1,4611,"[1,0,0,1]"
"/rx/blogs/national-parks/backpacking-in-olympic-national-park-an-insider-s-guide",0,1,12832,"[1,0,0,1]"
"/blogs/health-wellness/orthotic-superfeet-shape-arch-support-and-so-much-more",0,2,324,"[1,1,0,0]"
"/en-us/insoles-and-sandals/everyday/green",0,1,0,"[0,0,0,0]"
"/en-ca/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi1jYS9ibG9nL3J1bm5pbmctcGFjZS1jYWxjdWxhdG9yLWhpdC15b3VyLW5leHQtcHI%2C/",0,1,12956,"[1,0,0,1]"
"/en-ca/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi1jYS9ibG9nLzUtcmFyZWx5LXRyYXZlbGVkLWRheS1oaWtlcy1pbi1vbHltcGljLW5hdGlvbmFsLXBhcms%2C/",0,1,1018,"[1,1,0,0]"
"/blogs/company-news/6-types-of-running-workouts-and-why-you-need-them",0,12,1237,"[3,3,0,0]"
"/blogs/foot-health-podiatry/flat-feet-vs-normal-arches-whats-the-real-difference-and-how-to-find-relief",0,7,2090,"[4,4,0,0]"
"/blogs/company-news/performance-insoles-redefined-introducing-run-pacer-elite",0,17,862,"[11,10,1,0]"
"/blogs/foot-health-podiatry/why-high-arches-can-lead-to-high-instep-foot",0,5,2386,"[3,2,1,0]"
"/en-gb/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi1nYi93aW50ZXItY29tZm9ydC10aGlu/",0,1,12861,"[1,0,0,1]"
"/blogs/foot-health-podiatry/accessory-navicular-syndrome-how-to-reduce-pain-and-improve-foot-function",0,1,0,"[0,0,0,0]"
"/en-us/catalogsearch/result/index/",0,1,0,"[0,0,0,0]"
"/en-us/insoles-and-sandals/run-cushion-low-arch",0,1,1400,"[1,1,0,0]"
"/en-eu/news/6-quick-and-easy-wellness-tips",0,1,5148,"[1,0,0,1]"
"/blogs/hiking-outdoor/how-to-take-care-of-your-feet-while-thru-hiking",0,2,1132,"[1,1,0,0]"
"/blogs/foot-health-podiatry/the-best-ways-to-relieve-foot-pain-from-standing-at-work",0,3,664,"[2,2,0,0]"
"/foot-health/FHI28.aspx",0,1,1080,"[1,1,0,0]"
"/foot-health/FHI23.aspx",0,1,11444,"[1,0,0,1]"
"/products/easyfit-women",0,1,0,"[0,0,0,0]"
"/pages/contest-rules",0,1,3580,"[1,0,1,0]"
"/pages/our-giving",0,32,1196,"[18,17,1,0]"
"/collections/running-V2",0,1,636,"[1,1,0,0]"
"/products/all-purpose",0,1,0,"[0,0,0,0]"
"/blogs/hiking-outdoor",0,14,4105,"[10,6,1,3]"
"/en-us/delux-mens-3-4",0,6,2967,"[4,2,2,0]"
"/pages/alt-size-chart",0,1,0,"[0,0,0,0]"
"/en-eu/products/flexmax",0,1,0,"[0,0,0,0]"
"/blogs/technology",0,3,792,"[3,3,0,0]"
"/products/me3d-max",0,26,746,"[14,14,0,0]"
"/arch-support-insoles",0,1,1344,"[1,1,0,0]"
"/products/easyfit-men",0,1,1496,"[1,1,0,0]"
"/pages/sustainability",0,24,1693,"[20,19,1,0]"
"/store/HotPINK.aspx",0,1,0,"[0,0,0,0]"
"/en-gb/shop/insoles/run",0,1,1611,"[1,1,0,0]"
"/pages/qr-work-guide",0,10,2887,"[4,1,3,0]"
"/en-gb/blogs/running",0,1,9948,"[1,0,0,1]"
"/foot-health/FHI76.aspx",0,1,806,"[1,1,0,0]"
"/pages/privacy-policy",0,15,845,"[8,8,0,0]"
"/en-gb/shop/insoles/snow",0,1,2466,"[1,1,0,0]"
"/foot-health/FHI8.aspx",0,1,0,"[0,0,0,0]"
"/products/flexmax",0,1,652,"[1,1,0,0]"
"/foot-health/FHI35.aspx",0,1,1204,"[1,1,0,0]"
"/products/green-insoles",0,1,0,"[0,0,0,0]"
"/en-eu/shop/insoles/run",0,1,860,"[1,1,0,0]"
"/blogs/health-wellness",0,4,2628,"[4,3,0,1]"
"/foot-health/FHI24.aspx",0,1,998,"[1,1,0,0]"
"/en-us/customer/account/",0,1,4056,"[1,0,0,1]"
"/pages/new-size-chart",0,1,0,"[0,0,0,0]"
"/en-us/hockey-comfort",0,1,1360,"[1,1,0,0]"
"/foot-health/FHI88.aspx",0,1,3644,"[1,0,1,0]"
"/policies/privacy-policy",0,2,0,"[0,0,0,0]"
"/pages/pain-relief",0,28,1738,"[12,10,2,0]"
"/rx/scanning-technology/",0,2,6001,"[2,1,0,1]"
"/en-us/insoles/green",0,1,1976,"[1,1,0,0]"
"/pages/cookie-policy",0,31,1033,"[13,11,2,0]"
"/en-us/why-superfeet",0,1,0,"[0,0,0,0]"
"/blogs/company-news",0,3,424,"[2,2,0,0]"
"/collections/unisex",0,3,2166,"[3,3,0,0]"
"/activity/skiing.aspx",0,1,9524,"[1,0,0,1]"
"/products/demo-gift-card",0,1,1336,"[1,1,0,0]"
"/pages/instructions",0,1,1932,"[1,1,0,0]"
"/pages/grant-application",0,7,544,"[5,5,0,0]"
"/en-eu/store-locator/",0,1,3598,"[1,0,1,0]"
"/pages/store-locator-1",0,1,8224,"[1,0,0,1]"
"/collections/frontpage",0,6,1508,"[5,5,0,0]"
"/pages/affiliates",0,2,1300,"[2,2,0,0]"
"/pages/performance",0,28,1822,"[16,13,1,2]"
"/en-gb/best-sellers",0,1,6176,"[1,0,0,1]"
"/pages/contact-us-rx",0,18,523,"[12,12,0,0]"
"/products/gift-card",0,8,798,"[6,6,0,0]"
"/foot-health/FHI120.aspx",0,1,1051,"[1,1,0,0]"
"/foot-health/FHI11.aspx",0,1,1228,"[1,1,0,0]"
"/en-ca/shop/insoles/kids",0,1,1163,"[1,1,0,0]"
"/gurantee",0,1,2572,"[1,0,1,0]"
"/blogs/running",0,3,5560,"[3,1,1,1]"
"/guarentee",0,3,5593,"[2,1,0,1]"
"/products/blue",0,1,0,"[0,0,0,0]"
"/research",0,2,0,"[0,0,0,0]"
"/blogs/all",0,22,1136,"[19,15,2,2]"
"/en-eu/blogs/all",0,1,5380,"[1,0,0,1]"
"/en-us/yellow",0,2,0,"[0,0,0,0]"
"/pages/returns",0,1,0,"[0,0,0,0]"
"/en-eu/shop",0,1,14546,"[1,0,0,1]"
"/en-us",0,1,1512,"[1,1,0,0]"
"/pages",0,8,1216,"[6,6,0,0]"
"/pages/",0,2,1211,"[2,2,0,0]"
"/de-gb/",0,3,3714,"[3,1,1,1]"
"/shop",0,24,1440,"[13,11,1,1]"
