"Page path","Percent of page loads","Page loads","INP P75","INP distribution"
"/blogs/health-wellness/orthotic-superfeet-shape-arch-support-and-so-much-more",0,2,8,"[1,1,0,0]"
"/en-us/insoles-and-sandals/everyday/green",0,1,0,"[0,0,0,0]"
"/en-ca/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi1jYS9ibG9nL3J1bm5pbmctcGFjZS1jYWxjdWxhdG9yLWhpdC15b3VyLW5leHQtcHI%2C/",0,1,0,"[0,0,0,0]"
"/en-ca/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi1jYS9ibG9nLzUtcmFyZWx5LXRyYXZlbGVkLWRheS1oaWtlcy1pbi1vbHltcGljLW5hdGlvbmFsLXBhcms%2C/",0,1,0,"[0,0,0,0]"
"/blogs/company-news/6-types-of-running-workouts-and-why-you-need-them",0,12,96,"[3,3,0,0]"
"/blogs/foot-health-podiatry/flat-feet-vs-normal-arches-whats-the-real-difference-and-how-to-find-relief",0,7,108,"[2,2,0,0]"
"/blogs/company-news/performance-insoles-redefined-introducing-run-pacer-elite",0,17,40,"[6,6,0,0]"
"/blogs/foot-health-podiatry/why-high-arches-can-lead-to-high-instep-foot",0,5,78,"[2,2,0,0]"
"/en-gb/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi1nYi93aW50ZXItY29tZm9ydC10aGlu/",0,1,0,"[0,0,0,0]"
"/blogs/foot-health-podiatry/accessory-navicular-syndrome-how-to-reduce-pain-and-improve-foot-function",0,1,0,"[0,0,0,0]"
"/en-us/catalogsearch/result/index/",0,1,0,"[0,0,0,0]"
"/en-us/insoles-and-sandals/run-cushion-low-arch",0,1,0,"[0,0,0,0]"
"/en-eu/news/6-quick-and-easy-wellness-tips",0,1,0,"[0,0,0,0]"
"/blogs/hiking-outdoor/how-to-take-care-of-your-feet-while-thru-hiking",0,2,0,"[0,0,0,0]"
"/blogs/foot-health-podiatry/the-best-ways-to-relieve-foot-pain-from-standing-at-work",0,3,48,"[1,1,0,0]"
"/foot-health/FHI28.aspx",0,1,0,"[0,0,0,0]"
"/foot-health/FHI23.aspx",0,1,0,"[0,0,0,0]"
"/products/easyfit-women",0,1,0,"[0,0,0,0]"
"/pages/contest-rules",0,1,0,"[0,0,0,0]"
"/pages/our-giving",0,32,108,"[12,12,0,0]"
"/collections/running-V2",0,1,0,"[0,0,0,0]"
"/products/all-purpose",0,1,0,"[0,0,0,0]"
"/blogs/hiking-outdoor",0,14,176,"[1,1,0,0]"
"/en-us/delux-mens-3-4",0,6,128,"[1,1,0,0]"
"/pages/alt-size-chart",0,1,0,"[0,0,0,0]"
"/en-eu/products/flexmax",0,1,656,"[1,0,0,1]"
"/blogs/technology",0,3,24,"[1,1,0,0]"
"/products/me3d-max",0,26,60,"[4,4,0,0]"
"/arch-support-insoles",0,1,0,"[0,0,0,0]"
"/products/easyfit-men",0,1,0,"[0,0,0,0]"
"/pages/sustainability",0,24,70,"[10,10,0,0]"
"/store/HotPINK.aspx",0,1,0,"[0,0,0,0]"
"/en-gb/shop/insoles/run",0,1,0,"[0,0,0,0]"
"/pages/qr-work-guide",0,10,104,"[1,1,0,0]"
"/en-gb/blogs/running",0,1,0,"[0,0,0,0]"
"/foot-health/FHI76.aspx",0,1,0,"[0,0,0,0]"
"/pages/privacy-policy",0,15,138,"[2,2,0,0]"
"/en-gb/shop/insoles/snow",0,1,0,"[0,0,0,0]"
"/foot-health/FHI8.aspx",0,1,0,"[0,0,0,0]"
"/products/flexmax",0,1,0,"[0,0,0,0]"
"/foot-health/FHI35.aspx",0,1,0,"[0,0,0,0]"
"/products/green-insoles",0,1,0,"[0,0,0,0]"
"/en-eu/shop/insoles/run",0,1,0,"[0,0,0,0]"
"/blogs/health-wellness",0,4,0,"[0,0,0,0]"
"/foot-health/FHI24.aspx",0,1,0,"[0,0,0,0]"
"/en-us/customer/account/",0,1,232,"[1,0,1,0]"
"/pages/new-size-chart",0,1,0,"[0,0,0,0]"
"/en-us/hockey-comfort",0,1,0,"[0,0,0,0]"
"/foot-health/FHI88.aspx",0,1,0,"[0,0,0,0]"
"/policies/privacy-policy",0,2,0,"[0,0,0,0]"
"/pages/pain-relief",0,28,88,"[5,5,0,0]"
"/rx/scanning-technology/",0,2,0,"[0,0,0,0]"
"/en-us/insoles/green",0,1,0,"[0,0,0,0]"
"/pages/cookie-policy",0,31,142,"[6,6,0,0]"
"/en-us/why-superfeet",0,1,0,"[0,0,0,0]"
"/blogs/company-news",0,3,16,"[1,1,0,0]"
"/collections/unisex",0,3,176,"[1,1,0,0]"
"/activity/skiing.aspx",0,1,0,"[0,0,0,0]"
"/products/demo-gift-card",0,1,0,"[0,0,0,0]"
"/pages/instructions",0,1,8,"[1,1,0,0]"
"/pages/grant-application",0,7,58,"[4,4,0,0]"
"/en-eu/store-locator/",0,1,0,"[0,0,0,0]"
"/pages/store-locator-1",0,1,48,"[1,1,0,0]"
"/collections/frontpage",0,6,0,"[0,0,0,0]"
"/pages/affiliates",0,2,8,"[1,1,0,0]"
"/pages/performance",0,28,736,"[3,1,0,2]"
"/en-gb/best-sellers",0,1,0,"[0,0,0,0]"
"/pages/contact-us-rx",0,18,96,"[7,7,0,0]"
"/products/gift-card",0,8,58,"[4,4,0,0]"
"/foot-health/FHI120.aspx",0,1,0,"[0,0,0,0]"
"/foot-health/FHI11.aspx",0,1,0,"[0,0,0,0]"
"/en-ca/shop/insoles/kids",0,1,0,"[0,0,0,0]"
"/gurantee",0,1,0,"[0,0,0,0]"
"/blogs/running",0,3,24,"[1,1,0,0]"
"/guarentee",0,3,640,"[1,0,0,1]"
"/products/blue",0,1,0,"[0,0,0,0]"
"/research",0,2,0,"[0,0,0,0]"
"/blogs/all",0,22,60,"[8,8,0,0]"
"/en-eu/blogs/all",0,1,0,"[0,0,0,0]"
"/en-us/yellow",0,2,0,"[0,0,0,0]"
"/pages/returns",0,1,0,"[0,0,0,0]"
"/en-eu/shop",0,1,0,"[0,0,0,0]"
"/en-us",0,1,0,"[0,0,0,0]"
"/pages",0,8,128,"[3,2,1,0]"
"/pages/",0,2,40,"[1,1,0,0]"
"/de-gb/",0,3,0,"[0,0,0,0]"
"/shop",0,24,96,"[9,9,0,0]"
