"Page path","Percent of page loads","Page loads","INP P75","INP distribution"
"/blogs/running/innovation-in-action-upgrading-superfeet-run-support-insoles",0.001,53,76,"[27,26,1,0]"
"/blogs/foot-health-podiatry/flat-feet-explained",0.001,54,108,"[7,6,0,1]"
"/products/work-hard-play-hard-pack",0.001,105,114,"[28,26,1,1]"
"/blogs/company-news/the-top-10-relay-races-to-have-on-your-radar",0.001,41,94,"[8,8,0,0]"
"/products/all-purpose-high-impact-support-2-pack",0.001,50,104,"[11,10,0,1]"
"/products/running-starter-pack",0.001,93,112,"[23,22,1,0]"
"/products/run-pain-relief-2-pack",0.001,52,88,"[6,5,0,1]"
"/products/pain-relief-bundle",0.001,109,110,"[18,17,1,0]"
"/products/ap-support-high-arch-3-pack-multipack",0.001,65,200,"[13,10,1,2]"
"/blogs/company-news/how-to-choose-the-right-insole-arch-height-for-your-feet",0.001,84,80,"[13,12,0,1]"
"/blogs/health-wellness/soft-vs-firm-insoles-what-is-the-difference-and-how-to-choose-which-experience-is-right-for-you",0.001,42,162,"[8,6,2,0]"
"/collections/kids",0.001,70,120,"[17,16,0,1]"
"/pages/why-superfeet",0.001,101,64,"[49,47,2,0]"
"/collections/golfing",0.001,109,90,"[44,43,1,0]"
"/pages/promotions",0.001,66,98,"[12,12,0,0]"
"/products/me3d",0.001,76,96,"[19,17,2,0]"
"/blogs/running/foot-stress-fractures-explained",0,9,160,"[3,3,0,0]"
"/products/racket-performance",0,1,8,"[1,1,0,0]"
"/collections/running-insoles-v2",0,3,0,"[0,0,0,0]"
"/en-ca/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi1jYS9ibG9nL2FuLW92ZXJ2aWV3LW9mLXRoZS1ub3J0aC1jb3VudHJ5LW5hdGlvbmFsLXNjZW5pYy10cmFpbA%2C%2C/",0,1,0,"[0,0,0,0]"
"/blogs/company-news/10-of-the-best-running-songs-of-all-time",0,11,110,"[2,2,0,0]"
"/collections/hole-in-the-wall-qr-code-landing-page-test",0,1,0,"[0,0,0,0]"
"/collections/ski-snowboard",0,1,0,"[0,0,0,0]"
"/blogs/company-news/how-superfeet-is-making-sustainable-strides-forward",0,1,0,"[0,0,0,0]"
"/blogs/running/running-with-purpose-coach-corey-morgan-s-journey-to-his-third-chicago-marathon-with-peace-runners-773",0,1,0,"[0,0,0,0]"
"/blogs/running/running-insoles-benefits-differences-between-the-run-and-adapt-lines",0,15,72,"[5,5,0,0]"
"/blogs/foot-health-podiatry/achilles-tendonitis-explained",0,15,112,"[7,7,0,0]"
"/blogs/hiking-outdoor/mountains-and-the-beach-5-destinations-where-you-can-have-both",0,15,394,"[2,1,1,0]"
"/en-us/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi11cy9ibG9nL215LWZhdm9yaXRlLW91dGRvb3Itd29ya291dHM%2C/",0,1,0,"[0,0,0,0]"
"/collections/hole-in-the-wall-qr-code-landing-page-success",0,36,80,"[9,8,1,0]"
"/blogs/foot-health-podiatry",0,15,48,"[5,5,0,0]"
"/en-us/insoles-and-sandals/fin-go-comfort",0,1,0,"[0,0,0,0]"
"/blogs/foot-health-podiatry/overpronation-vs-underpronation-finding-the-perfect-balance-with-superfeet-insoles",0,1,0,"[0,0,0,0]"
"/en-eu/news/no-driving-necessary-10-great-portland-adventures-via-mass-transit",0,1,0,"[0,0,0,0]"
"/blogs/national-parks/trail-running-in-olympic-national-park-an-insider-s-guide",0,3,0,"[0,0,0,0]"
"/en-us/everyday-slim-fit-men",0,4,48,"[1,1,0,0]"
"/en-us/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi11cy9ibG9nL3Bvc2l0aXZlLWFmZmlybWF0aW9ucy10by1zdGFydC15b3VyLWRheQ%2C%2C/",0,1,0,"[0,0,0,0]"
"/collections/hole-in-the-wall-qr-code-landing-page",0,16,36,"[3,3,0,0]"
"/blogs/foot-health-podiatry/shin-splints-explained",0,8,66,"[4,4,0,0]"
"/blogs/running/how-to-eat-like-an-elite-athlete-inside-an-elite-athletes-diet",0,1,0,"[0,0,0,0]"
"/en-us/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi11cy9wZXJzb25hbGl6ZWQ%2C/",0,1,0,"[0,0,0,0]"
"/pages/me3d-store-locator",0,21,168,"[7,6,0,1]"
"/en-eu/news/6-types-of-running-workouts-and-why-you-need-them",0,1,0,"[0,0,0,0]"
"/blogs/foot-health-podiatry/plantar-fasciitis-explained",0,30,96,"[5,5,0,0]"
"/products/all-purpose-memory-foam-support%0A%20",0,1,0,"[0,0,0,0]"
"/products/hockey-performance-2-pack",0,17,196,"[3,2,1,0]"
"/blogs/company-news/superfeet-hockey-insoles-the-ultimate-assist",0,14,84,"[3,3,0,0]"
"/blogs/health-wellness/tips-to-relieve-tired-and-aching-feet-according-to-a-podiatrist",0,4,420,"[2,1,0,1]"
"/blogs/company-news/couch-to-5k-running-training-plan-for-beginning-runners",0,17,434,"[4,2,1,1]"
"/blogs/hiking-outdoor/the-10-most-memorable-hikes-in-north-america",0,2,0,"[0,0,0,0]"
"/en-gb/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi1nYi9ibG9nL29uY2UtYS10aHJ1LWhpa2VyLWFsd2F5cy1hLXRocnUtaGlrZXI%2C/",0,1,0,"[0,0,0,0]"
"/en-us/insoles/trailblazer-comfort",0,1,0,"[0,0,0,0]"
"/en-au/blogs/health-wellness",0,1,0,"[0,0,0,0]"
"/blogs/foot-health-podiatry/outside-foot-pain-how-to-manage-it-with-superfeet-insoles-and-avoid-surgery",0,6,92,"[3,3,0,0]"
"/blogs/company-news/15-of-colorados-most-scenic-trail-running-destinations",0,1,64,"[1,1,0,0]"
"/pages/disclaimer-of-warranty",0,4,40,"[1,1,0,0]"
"/en-us/customer/account/create/",0,1,64,"[1,1,0,0]"
"/blogs/technology/the-unique-benefits-of-me3d-personalized-insoles",0,1,0,"[0,0,0,0]"
"/press/release/Superfeet/Insoles/Dutch/Ski/Snowboard.aspx",0,1,0,"[0,0,0,0]"
"/en-us/run-comfort-insoles",0,1,0,"[0,0,0,0]"
"/rx/national-parks/national-parks/great-smoky-mountains",0,1,0,"[0,0,0,0]"
"/products/commuter-essentials-pack",0,25,64,"[1,1,0,0]"
"/blogs/national-parks/a-guide-to-the-best-hiking-in-olympic-national-park",0,2,0,"[0,0,0,0]"
"/en-us/insoles-and-sandals/linden-black",0,1,0,"[0,0,0,0]"
"/blogs/company-news/superfeet-insoles-for-athletes-nurses-and-professionals",0,13,154,"[4,3,1,0]"
"/blogs/running/finding-your-stride-lessons-from-a-high-school-cross-country-team",0,1,88,"[1,1,0,0]"
"/blogs/foot-health-podiatry/supination-101-why-the-right-insoles-matter-for-your-foot-health",0,1,0,"[0,0,0,0]"
"/blogs/hiking-outdoor/hiking-insoles-benefits-differences-between-adapt-hike-and-trailblazer",0,17,46,"[2,2,0,0]"
"/blogs/national-parks/trail-running-in-the-smokies-an-insider-s-guide",0,7,0,"[0,0,0,0]"
"/pages/work-memory-foam-size-chart",0,14,48,"[5,4,1,0]"
"/blogs/running/best-stretches-and-exercises-for-plantar-fasciitis-relief",0,10,48,"[1,1,0,0]"
"/blogs/company-news/meet-superfeet-work-support-that-works-as-hard-as-you-do",0,13,80,"[4,4,0,0]"
"/en-us/insoles-and-sandals/run-comfort",0,3,0,"[0,0,0,0]"
"/en-us/news/strength-training-for-runners-exercises-you-can-do-at-home",0,1,0,"[0,0,0,0]"
"/blogs/hiking-outdoor/day-hiking-everything-you-need-to-get-started",0,3,48,"[2,2,0,0]"
"/en-us/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi11cy9zaG9wL2hpa2UtY3VzaGlvbg%2C%2C/",0,1,0,"[0,0,0,0]"
"/blogs/national-parks/backpacking-in-the-smokies-an-insider-s-guide",0,1,0,"[0,0,0,0]"
"/blogs/running/lacing-patterns-for-common-foot-issues",0,14,98,"[2,2,0,0]"
"/en-us/casual-mens-easyfit",0,1,0,"[0,0,0,0]"
"/blogs/technology/how-3d-printed-me3d-personalized-insoles-are-made",0,2,0,"[0,0,0,0]"
"/blogs/foot-health-podiatry/metatarsalgia-explained",0,31,102,"[10,9,1,0]"
"/blogs/national-parks/hiking-in-shenandoah-national-park-an-insider-s-guide",0,1,0,"[0,0,0,0]"
"/rx/blogs/health-wellness",0,1,0,"[0,0,0,0]"
"/en-us/ambassador-application/",0,1,0,"[0,0,0,0]"
"/en-au/national-parks/national-parks/grand-canyon",0,1,0,"[0,0,0,0]"
"/en-us/insoles/hike-support",0,1,0,"[0,0,0,0]"
"/blogs/running/best-running-shoes-for-high-arches-where-superfeet-ranks",0,1,0,"[0,0,0,0]"
